docno,text
101551,carolinafan uiuc cka52397 uxa cso uiuc edu wrote activ defend saturn late net would like state full opinion subject rather repli other ' point biggest problem peopl seem saturn dealer make ~ 2k car think agre car compar price competitor n't overpr compar car class n't understand point argu whether dealer make 2k never understood big deal dealer profit either thing figur peopl believ minim dealer profit minim total out of pocket expens car may true case believ gener true bought saturn sl januari '92 time base studi car price decid compar car price cheapli saturn sure mayb could talk price car saturn price out of pocket expens would n't differ 's import much money left buy car reduc dealer profit thing save money ! show reduc dealer profit save money 'll believ 's import experi reduc dealer profit necessarili save money fred say bought saturn 13k dealer profit 2k dealer profit 1000 would pay 12k car n't save money moreov saturn realli reduc dealer profit margin 1000 car even better deal say price saturn alreadi 1000 market averag class car reduc dealer profit would 2000 market averag 1 attract even peopl buy saturn would save money 2 forc competitor lower price surviv saturn owner benefit lower dealer profit even buyer car pay less n't save money 0 02 doug
101552,road track 2 88 bmw325i 0 60 7 5s 1 4 mile 15 7s road test annual 1993 0 60 8 3s 1 4 mile 16 2s number quot driven older model newer sure sound like got ringer 325i drove definit faster want quot number aw autofil show 0 60 7 4 1 4 mile 15 9 quot car driver 's figur 6 9 15 3 oh btw number 325i n't know addit variabl valv time 1993 affect n't take word go drive teddi
101553,thank respond post problem truck 's headlight low beam problem `` loos wire connect `` `` fuse `` minor suggest thank
101554,subject say 1984 chev s10 pickup 's left turn signal stop turn caus stop automaticali mechan problem steer wheel note truck market steer wheel gt grant instal
101555,articl 1993mar31 193406 29625 ugl unit no oep colargol edb tih no oep write turn teenag car get old averag lifelength volvo norway 18 year sweden 20 year cours someon point saab volvo run least 10 year ad averag milag significantli less us averag everi volvo 've ever own last far longer car 1981 volvo 245 125 000 mile still road 1983 volvo 242 195 000 mile still road 1984 volvo 244 175 000 mile still road 'll admit dealer repair cost high mechan aptitud find good indi mechan avoid breakdown make rest cheap sum total repair car 195 000 mile 2 muffler radiat whoa bad repair record car driven fairli hard none head line car go 30 mph first two spend lot oper life speedomet peg reason 84 n't 120 mph speedo want know peopl hate volvo traumat someon 745 turbo wagon blow away road
101556,saturn retail built like 2 citi medium larg citi small hand saturn dealer sacramento two saturn dealership mihir shah ralph bean hprnd rose hp com
101557,'m look replac radio tape player 1984 toyota tercel standard off the shelf unit fine everi place 've gone servic merchandis etc n't car model applic book want take old radio slide new minim time spent hook adjust dashboard put new unit similar car 'd like hear brand easi chang relev inform pleas answer via e mail thank tom ostrand tom ostrand e mail tjo scr siemen com siemen corpor research phone 609 734 6569 755 colleg road east fax 609 734 6565 princeton nj 08540 6668
101558,think get infin g20 consum report rank high mani catagori includ highest reliabl index compact car mitsubushi galant second follow honda accord coupl thing though 1 look around yet see anyon drive car see lot honda 's toyota 's 2 special deal get infin g20 fulli load dealer cost check number match releas updat mid 1993 version includ dual air bag want get rid old 1993 's guess question good deal also anyon give feedback infin thank carl hoffman p s car test driven run mitsubishi galant honda accord toyota camari
101559,articl 1piip4 bo6 agat berkeley edu hubertc whistl cs berkeley edu hung hsien hubert chang write hi ! new car owner would pretti much like know basic maintain car know follow 1 oil chang everi 3000 mile chang oil filter 2 check tire go high way fill tank make monthli often know one tire slow leak tire leak fix other thank 4 check fluid regularli everi month check oil everi time fill ga n't work well engin hot accur check oil engin cool i e ga station craig
101560,'s great car out handl out corner out acceler integra 've got ask one question car moonroof slide sunshad wimpi pop up sunroof power slide roof opaqu moonroof open air close let light shade noth come 've got know 's import doug '93 integra gs hahaha sentiment exactli
